timestamp,node,cpu_percent,memory_mb,memory_percent
2025-12-25T23:01:54+08:00,master,0.0,2106,13.2
2025-12-25T23:01:54+08:00,worker-1,22.7,624,8.0
2025-12-25T23:01:54+08:00,worker-2,11.5,910,11.5
2025-12-25T23:01:54+08:00,worker-3,2.9,627,3.9
2025-12-25T23:01:54+08:00,worker-4,11.8,724,4.6
2025-12-25T23:02:06+08:00,master,0.0,2116,13.3
2025-12-25T23:02:06+08:00,worker-1,2.3,578,7.4
2025-12-25T23:02:06+08:00,worker-2,1.1,853,10.8
2025-12-25T23:02:06+08:00,worker-3,1.1,608,3.8
2025-12-25T23:02:06+08:00,worker-4,1.0,695,4.4
2025-12-25T23:02:13+08:00,master,2.4,2092,13.1
2025-12-25T23:02:13+08:00,worker-1,0.0,575,7.3
2025-12-25T23:02:13+08:00,worker-2,1.2,849,10.8
2025-12-25T23:02:13+08:00,worker-3,2.3,602,3.8
2025-12-25T23:02:13+08:00,worker-4,1.0,683,4.3
2025-12-25T23:02:21+08:00,master,1.2,2118,13.3
2025-12-25T23:02:21+08:00,worker-1,0.0,568,7.3
2025-12-25T23:02:21+08:00,worker-2,0.0,844,10.7
2025-12-25T23:02:21+08:00,worker-3,1.1,600,3.8
2025-12-25T23:02:21+08:00,worker-4,1.0,673,4.2
2025-12-25T23:02:28+08:00,master,0.0,2099,13.2
2025-12-25T23:02:28+08:00,worker-1,0.0,569,7.3
2025-12-25T23:02:28+08:00,worker-2,0.0,844,10.7
2025-12-25T23:02:28+08:00,worker-3,0.0,597,3.7
2025-12-25T23:02:28+08:00,worker-4,0.0,667,4.2
2025-12-25T23:02:35+08:00,master,16.0,2099,13.2
2025-12-25T23:02:35+08:00,worker-1,0.0,567,7.2
2025-12-25T23:02:35+08:00,worker-2,1.1,848,10.8
2025-12-25T23:02:35+08:00,worker-3,2.2,598,3.7
2025-12-25T23:02:35+08:00,worker-4,1.0,664,4.2
2025-12-25T23:02:42+08:00,master,2.4,2087,13.1
2025-12-25T23:02:42+08:00,worker-1,0.0,567,7.2
2025-12-25T23:02:42+08:00,worker-2,0.0,846,10.7
2025-12-25T23:02:42+08:00,worker-3,2.3,601,3.8
2025-12-25T23:02:42+08:00,worker-4,1.0,660,4.1
