timestamp,node,cpu_percent,memory_mb,memory_percent
2025-12-25T23:20:33+08:00,master,1.2,2181,13.7
2025-12-25T23:20:33+08:00,worker-1,0.0,639,8.2
2025-12-25T23:20:33+08:00,worker-2,0.0,902,11.4
2025-12-25T23:20:33+08:00,worker-3,0.0,673,4.2
2025-12-25T23:20:33+08:00,worker-4,0.0,741,4.7
2025-12-25T23:20:42+08:00,master,0.0,2180,13.7
2025-12-25T23:20:42+08:00,worker-1,0.0,615,7.9
2025-12-25T23:20:42+08:00,worker-2,0.0,884,11.2
2025-12-25T23:20:42+08:00,worker-3,1.1,650,4.1
2025-12-25T23:20:42+08:00,worker-4,1.0,724,4.6
2025-12-25T23:20:50+08:00,master,4.7,2189,13.7
2025-12-25T23:20:50+08:00,worker-1,0.0,606,7.7
2025-12-25T23:20:50+08:00,worker-2,0.0,875,11.1
2025-12-25T23:20:50+08:00,worker-3,2.2,645,4.0
2025-12-25T23:20:50+08:00,worker-4,0.0,718,4.5
2025-12-25T23:20:57+08:00,master,2.4,2182,13.7
2025-12-25T23:20:57+08:00,worker-1,0.0,600,7.7
2025-12-25T23:20:57+08:00,worker-2,1.1,875,11.1
2025-12-25T23:20:57+08:00,worker-3,1.1,644,4.0
2025-12-25T23:20:57+08:00,worker-4,1.0,717,4.5
2025-12-25T23:21:04+08:00,master,1.2,2189,13.7
2025-12-25T23:21:04+08:00,worker-1,0.0,604,7.7
2025-12-25T23:21:04+08:00,worker-2,0.0,869,11.0
2025-12-25T23:21:04+08:00,worker-3,0.0,646,4.0
2025-12-25T23:21:04+08:00,worker-4,2.0,717,4.5
2025-12-25T23:21:12+08:00,master,0.0,2186,13.7
2025-12-25T23:21:12+08:00,worker-1,0.0,598,7.6
2025-12-25T23:21:12+08:00,worker-2,1.1,869,11.0
2025-12-25T23:21:12+08:00,worker-3,1.1,642,4.0
2025-12-25T23:21:12+08:00,worker-4,2.0,713,4.5
2025-12-25T23:21:19+08:00,master,2.4,2175,13.7
2025-12-25T23:21:19+08:00,worker-1,0.0,597,7.6
2025-12-25T23:21:19+08:00,worker-2,1.1,865,11.0
2025-12-25T23:21:19+08:00,worker-3,1.1,644,4.0
2025-12-25T23:21:19+08:00,worker-4,0.0,715,4.5
2025-12-25T23:21:26+08:00,master,0.0,2189,13.7
2025-12-25T23:21:26+08:00,worker-1,0.0,596,7.6
2025-12-25T23:21:26+08:00,worker-2,1.1,865,11.0
2025-12-25T23:21:26+08:00,worker-3,1.2,641,4.0
2025-12-25T23:21:26+08:00,worker-4,1.0,713,4.5
2025-12-25T23:21:34+08:00,master,2.3,2169,13.6
2025-12-25T23:21:34+08:00,worker-1,2.3,624,8.0
2025-12-25T23:21:34+08:00,worker-2,2.3,896,11.4
2025-12-25T23:21:34+08:00,worker-3,1.1,641,4.0
2025-12-25T23:21:34+08:00,worker-4,0.0,713,4.5
2025-12-25T23:21:42+08:00,master,0.0,2190,13.7
2025-12-25T23:21:42+08:00,worker-1,2.3,609,7.8
2025-12-25T23:21:42+08:00,worker-2,1.1,880,11.2
2025-12-25T23:21:42+08:00,worker-3,1.1,665,4.2
2025-12-25T23:21:42+08:00,worker-4,1.0,737,4.6
2025-12-25T23:21:50+08:00,master,6.0,2185,13.7
2025-12-25T23:21:50+08:00,worker-1,0.0,600,7.7
2025-12-25T23:21:50+08:00,worker-2,0.0,873,11.1
2025-12-25T23:21:50+08:00,worker-3,0.0,645,4.0
2025-12-25T23:21:50+08:00,worker-4,1.0,719,4.5
