timestamp,node,cpu_percent,memory_mb,memory_percent
2025-12-25T23:11:32+08:00,master,3.5,2163,13.6
2025-12-25T23:11:32+08:00,worker-1,2.3,630,8.1
2025-12-25T23:11:32+08:00,worker-2,1.1,906,11.5
2025-12-25T23:11:32+08:00,worker-3,1.1,678,4.3
2025-12-25T23:11:32+08:00,worker-4,1.0,743,4.7
2025-12-25T23:11:42+08:00,master,1.1,2127,13.4
2025-12-25T23:11:42+08:00,worker-1,0.0,608,7.8
2025-12-25T23:11:42+08:00,worker-2,0.0,882,11.2
2025-12-25T23:11:42+08:00,worker-3,1.1,659,4.1
2025-12-25T23:11:42+08:00,worker-4,1.1,720,4.5
2025-12-25T23:11:49+08:00,master,0.0,2139,13.4
2025-12-25T23:11:49+08:00,worker-1,2.4,604,7.7
2025-12-25T23:11:49+08:00,worker-2,0.0,875,11.1
2025-12-25T23:11:49+08:00,worker-3,1.1,645,4.0
2025-12-25T23:11:49+08:00,worker-4,1.0,718,4.5
2025-12-25T23:11:56+08:00,master,1.2,2140,13.4
2025-12-25T23:11:56+08:00,worker-1,2.3,602,7.7
2025-12-25T23:11:56+08:00,worker-2,0.0,873,11.1
2025-12-25T23:11:56+08:00,worker-3,2.3,647,4.1
2025-12-25T23:11:56+08:00,worker-4,1.0,710,4.5
2025-12-25T23:12:04+08:00,master,2.4,2135,13.4
2025-12-25T23:12:04+08:00,worker-1,0.0,603,7.7
2025-12-25T23:12:04+08:00,worker-2,1.1,872,11.1
2025-12-25T23:12:04+08:00,worker-3,1.1,647,4.1
2025-12-25T23:12:04+08:00,worker-4,1.0,708,4.5
2025-12-25T23:12:11+08:00,master,0.0,2152,13.5
2025-12-25T23:12:11+08:00,worker-1,0.0,600,7.7
2025-12-25T23:12:11+08:00,worker-2,0.0,873,11.1
2025-12-25T23:12:11+08:00,worker-3,1.1,650,4.1
2025-12-25T23:12:11+08:00,worker-4,2.0,706,4.4
2025-12-25T23:12:19+08:00,master,3.6,2139,13.4
2025-12-25T23:12:19+08:00,worker-1,2.3,595,7.6
2025-12-25T23:12:19+08:00,worker-2,1.1,872,11.1
2025-12-25T23:12:19+08:00,worker-3,1.1,643,4.0
2025-12-25T23:12:19+08:00,worker-4,0.0,702,4.4
2025-12-25T23:12:26+08:00,master,2.4,2142,13.4
2025-12-25T23:12:26+08:00,worker-1,2.3,595,7.6
2025-12-25T23:12:26+08:00,worker-2,1.2,871,11.0
2025-12-25T23:12:26+08:00,worker-3,1.1,641,4.0
2025-12-25T23:12:26+08:00,worker-4,1.0,701,4.4
2025-12-25T23:12:33+08:00,master,0.0,2146,13.5
2025-12-25T23:12:33+08:00,worker-1,0.0,626,8.0
2025-12-25T23:12:33+08:00,worker-2,1.1,894,11.3
2025-12-25T23:12:33+08:00,worker-3,1.1,637,4.0
2025-12-25T23:12:33+08:00,worker-4,0.0,708,4.5
2025-12-25T23:12:41+08:00,master,0.0,2131,13.4
2025-12-25T23:12:41+08:00,worker-1,2.3,604,7.7
2025-12-25T23:12:41+08:00,worker-2,0.0,882,11.2
2025-12-25T23:12:41+08:00,worker-3,1.2,663,4.2
2025-12-25T23:12:41+08:00,worker-4,1.1,735,4.6
2025-12-25T23:12:49+08:00,master,4.8,2155,13.5
